Code;Nom;Prenom;DOB
1234;Raphael;Raphael;15/03/2023 00:00:00
4213;Paquet Beaudoin;Julien;10/11/2002 00:00:00
3656;Michel;Jean;31/03/2023 00:00:00
3656;Michel;Jean;31/03/2023 00:00:00
3656;Michel;Jean;31/03/2023 00:00:00
3656;Michel;Jean;31/03/2023 00:00:00
3656;Michel;Jean;31/03/2023 00:00:00
3656;Michel;Jean;31/03/2023 00:00:00
3656;Michel;Jean;31/03/2023 00:00:00
3656;Michel;Jean;31/03/2023 00:00:00
3656;Michel;Jean;31/03/2023 00:00:00
3656;Michel;Jean;31/03/2023 00:00:00
3656;Michel;Jean;31/03/2023 00:00:00
3656;Michel;Jean;31/03/2023 00:00:00
3656;Albert;Bebert;31/03/2023 00:00:00
4213;Fortier;Cynthia;02/08/1982 00:00:00
